PDM,value
10_01:486532,216.9698981
10_02:486533,202.6391745
10_03a:486534,237.1265708
10_05:486536,198.9000236
11_01:486537,208.0582603
11_02:486538,240.6843494
11_03a:486539,200.0360164
11_04:486540,193.149172
11_05:486541,201.482554
11_06:486542,251.4960163
12_01:486543,223.462879
12_04:486544,202.0301041
12_05:486545,205.4536097
12_06:486546,201.6006675
13_01:486547,200.8023477
13_03:486549,218.2034649
13_04:486550,202.2847569
13_05:486551,188.9969853
13_06:486552,185.590828
14_01:486553,208.0955046
14_02:486554,171.7780502
14_03:486555,178.4417468
14_04:486556,221.3945844
14_06:486558,202.9806313
15_01a:486559,187.5924846
15_03:486560,241.7353927
15_04:486561,199.3073191
15_05:486562,206.9752504
15_06:486563,198.2148937
16_02:486564,241.0114972
16_03a:486565,189.3545506
16_04:486566,197.6788291
16_05:486567,203.8765731
17_01:486568,219.4866285
17_02:486569,247.543639
17_05a:486570,168.6665971
18_01:486571,209.7490811
18_02a:486572,209.2699877
18_03a:486573,189.7241557
18_04:486574,174.4031284
18_05:486575,226.1869721
19_05:486576,221.8025488
19_06:486577,189.512324
20_01:486578,163.3182422
20_02a:486579,223.1886597
20_03:486580,223.6944422
20_04:486581,207.3819638
20_06:486582,208.9845378
21_02a:486583,190.9856706
21_04:486584,226.9999397
21_05:486585,185.9839097
22_01:486587,171.2957242
22_02:486588,234.8772404
22_04:486590,241.8688239
22_06:486591,249.3705069
23_01:486592,209.1878581
23_03:486593,379.7370819
24_02a:486594,297.6781102
24_04:486595,199.5016263
24_05:486596,181.9923819
25_01a:486597,218.2136255
25_02:486598,203.7378785
25_03:486599,207.6513452
25_04:486600,227.3659988
25_06:486601,197.9050807
26_01a:486602,215.3905949
26_02:486603,205.9247483
26_04:486604,221.8581654
26_05:486605,171.3371252
26_06:486606,203.1510804
27_01:486607,199.2296396
27_02:486608,183.4599319
27_04:486609,196.6743889
27_06:486610,232.082904
28_01:486611,211.9239963
28_02:486612,207.0472475
28_03:486613,187.6386468
28_04:486614,178.5816193
28_05:486615,198.2011031
29_01:486616,210.6727881
29_02a:486619,211.6767243
29_03:486620,202.218765
29_04:486621,204.0438998
29_05:486617,203.8455953
29_06:486618,201.2086959
30_01a:486622,281.466065
30_02a:486623,224.0835768
30_03:486624,227.9518502
30_05:486625,196.7245796
30_06:486626,190.8465792
31_01:486627,214.0935788
31_02:486628,213.2942318
31_03:486629,212.2089061
31_04:486630,217.2987944
31_05:486631,195.3400505
31_06a:486632,149.3503055
32_01:486633,216.0084487
32_02:486634,190.4388767
32_03a:486635,211.3639407
32_04:486636,243.4780263
33_01a:486637,248.3922664
33_02:486638,240.8086711
33_05:486639,216.8899188
33_06:486640,218.4520193
34_02:486641,204.5559435
34_03:486642,216.74839
34_05:486643,223.8364385
34_06:486644,208.2864459
35_01:486645,181.3036111
35_02:486646,266.8073839
35_03:486647,183.5814388
35_04:486648,194.3155258
36_01:486649,206.6001984
36_02:486650,181.1591907
36_03:486651,210.5472516
36_04:486652,226.6863764
36_06:486654,177.024493
37_01:486655,238.0001779
37_03:486656,214.5301905
37_04:486657,260.0023965
37_05:486659,200.8968429
37_06:486660,221.2719079
38_01:486661,183.7240372
38_02:486662,230.6499103
38_03:486663,229.2101285
38_04:486664,207.3344406
38_05:486665,239.8084341
38_06:486666,212.7580443
39_02:486667,244.9567012
39_03:486668,198.7912234
39_04:486669,185.3395978
39_05a:486670,230.7807749
39_06:486671,213.2301405
4_04:486501,238.0488619
4_05:486502,210.9324749
40_01:486672,216.5803896
40_03:486673,222.271429
40_04:486674,202.1115313
40_06:486676,227.9526307
41_01:486677,224.2411896
41_02:486678,174.8356612
41_05:486679,205.0431159
41_06:486680,260.8848389
42_01:486681,194.6064075
42_02a:486682,229.8777943
42_03:486683,208.4671108
42_05a:486684,244.8716048
42_06a:486685,153.8991805
43_01:486686,203.1839017
43_02:486687,235.0754184
43_03:486688,208.3399931
43_05:486689,195.7303969
43_06:486690,225.5269725
44_01:486691,192.3198257
44_02:486692,204.2688196
44_03:486693,248.8096125
44_04:486694,222.7617454
44_05:486695,209.4063581
45_01:486696,218.9080371
45_02:486697,191.7475415
45_03:486698,233.6868171
45_06:486700,215.6585485
46_02:486701,199.5446322
46_03:486702,194.3534169
46_04:486703,195.5222157
46_05:486704,164.9428394
46_06:486705,236.8294454
47_02:486706,191.8950175
47_03:486707,222.7113637
47_04:486708,185.9282468
47_05:486709,178.1616405
48_01:486710,211.6495646
48_02:486711,205.1800534
48_03:486712,181.8521496
48_04:486713,217.3449775
48_05:486714,277.8947895
48_06:486715,211.7518462
49_01:486716,201.13378
49_02:486717,232.3289998
49_03:486718,218.1532923
49_04:486719,200.6076246
49_05a:486720,200.6018845
49_06:486721,196.0881708
5_01:486503,178.9368613
5_02:486504,227.9192389
5_03:486505,191.6535801
5_04a:486506,222.3858205
5_05:486508,217.0222326
5_06:486509,196.5419829
50_01:486722,195.0909012
50_02:486723,199.0002948
50_03:486724,211.4004709
50_04:486725,229.6494563
50_06:486726,226.5873942
51_01:486727,190.3297207
51_03:486728,209.8127219
51_04a:486729,244.4157868
51_05:486730,243.6421305
51_06:486731,189.0329644
52_03:486733,202.144923
52_06:486735,243.8385615
53_01:486736,219.0257975
53_02:486737,167.560029
53_03:486738,277.3560376
53_04:486739,201.2164889
53_06:486740,233.7858359
54_01:486742,219.8197169
54_02:486743,203.5073024
54_04:486744,229.5047088
54_05:486745,203.632975
55_01:486747,228.5385298
55_02:486748,233.6774101
55_04:486749,234.7935895
55_05:486750,196.5006578
55_06:486751,179.7645103
56_01:486752,247.4370563
56_03:486753,255.0001453
56_04:486754,183.0949079
56_05:486755,244.3209119
56_06:486756,207.279942
57_01:486757,186.8420036
57_03a:486758,201.8734112
57_04:486759,176.2676672
57_05:486760,221.3748374
57_06:486761,220.6104066
58_01:486762,188.493775
58_03:486763,209.2005939
58_04:486764,207.3792558
58_05:486765,210.9574843
58_06a:486766,205.1834955
59_01:486767,215.4103248
59_03:486768,191.6279429
59_04:486769,199.7813053
59_05:486770,195.3746206
59_06:486771,254.4041878
6_01:486510,201.2787184
6_04:486513,209.716767
6_05a:486514,235.4854888
60_01:486772,205.0082238
60_02:486773,178.4793714
60_04:486774,270.4016921
60_05:486775,173.991253
60_06:486776,178.3235014
61_01:486777,192.5241467
61_02a:486778,263.3114119
7_01a:486515,189.1264634
7_02a:486516,183.6277071
7_03:486517,216.4033888
7_04:486518,199.8792661
7_06:486520,181.5217764
8_01:486521,193.0777127
8_02:486522,202.0904031
8_03:486523,203.1668564
8_04:486524,193.5015965
8_05:486525,201.7265525
8_06:486526,200.1707133
9_01:486527,224.1188658
9_03a:486528,226.7263137
9_04:486529,217.7754006
9_05:486530,199.1324799
9_06:486531,267.5236668
B01:486779,216.2951177
B07:486780,173.7439408
B12:486781,226.3303251
B25:486782,207.8594563
B26:486783,168.5885448
B28:486784,179.1266173
B30:486785,202.7518416
B46:486786,227.8734495
B50:486787,185.1944744
D93:486788,189.9295874